1260	9	-0.62026	0.65897	-15.627	-20.302	0.26821	1.8569	-12.753	-0.18918	-9.7178	-6.8466	-5.471	-9.6379	-9.6546	-14.078	0.26788	1.4634	-12.753	-0.18919	-9.7178	-6.8466	-5.471	-9.6379	1.9473	-5.1212	-11.154	-12.665	-6.622	-4.9271	-9.7802	-12.147	-0.62026	-5.7523	-9.6546	-14.078	0.26788	1.4634	-12.753	-0.18919	-9.7178	-6.8466	-0.62026	-5.7523	1.9472	-5.1212	-11.154	-12.665	-6.622	-4.9271	-9.7802	-12.147	-5.471	-9.6379	-7.6531	-11.948	-2.5234	-1.0887	-12.643	-0.33392	-3.8222	-3.3356	-0.62026	0.65897	-10.385	-16.021	-2.0202	-5.2031	-6.1436	-6.1437	1.8938	-3.7596	-0.62026	0.65897	-14.174	-18.172	-2.5028	0.1375	-12.649	-0.33168	-3.8222	-3.335	-0.62026	-5.7523	-7.6531	-11.948	-2.5234	-1.0887	-12.643	-0.33392	-3.8222	-3.3356
1297	9	0.5682	-8.3506	-5.8462	-7.9902	-10.63	-11.527	-5.812	-9.9597	-10.147	-10.744	0.5682	-2.0428	-19.527	-15.68	-4.8314	1.0059	-7.9317	-3.6871	-10.147	-5.7324	-3.9079	-9.2724	-5.8454	-3.4855	-15.832	-16.334	-5.7114	-10.172	-10.147	-10.745	0.5682	-8.3506	-5.8462	-3.4855	-15.832	-16.334	-5.7114	-10.172	-10.147	-10.745	-3.9079	-9.2724	-5.8455	-7.9901	-10.63	-11.528	-5.812	-9.9599	-10.147	-10.744	-3.9079	-3.1875	-6.807	-11.615	-9.1597	-10.229	-5.978	-6.9317	-10.147	-10.659	-3.9079	-9.2724	-17.135	-11.909	-4.8314	1.0058	-7.9317	-3.6871	-10.147	-5.7324	0.5682	-8.3506	-17.136	-11.909	-4.8314	1.0058	-7.9317	-3.6871	-10.147	-5.7324	-3.9079	-3.1875	-18.095	-15.255	-4.8314	1.0059	-7.9317	-3.6871	-10.147	-5.7324
1390	9	1.5218	-0.94743	-13.533	-21.062	0.14616	-2.8984	-9.4985	0.92032	-5.3015	-4.8158	-4.9224	-5.0099	-8.5574	-17.679	0.041046	-2.8984	-9.4985	0.92032	-5.3015	-4.8158	-4.9224	-11.16	-8.5573	-17.617	0.041041	-2.8984	-9.4985	0.92032	-5.3015	-4.8158	1.5218	-0.94743	-9.7796	-16.878	-4.0122	-5.3695	-7.2527	-1.0869	-0.16094	0.89061	1.5218	-0.94743	-9.783	-20.303	-4.0121	-5.3265	-7.4471	0.80421	-2.7818	0.89061	-4.9224	-11.16	-4.8076	-16.551	-4.9784	-6.0716	-7.4464	0.76945	-2.7818	0.89059	-4.9224	-11.16	-4.8042	-13.066	-4.98	-6.1294	-7.252	-1.1218	-0.16094	0.89059	-4.9224	-5.0099	-4.8077	-16.613	-4.9783	-6.0714	-7.4464	0.76945	-2.7818	0.89059	-4.9224	-5.0099	-4.8043	-13.128	-4.98	-6.1292	-7.252	-1.1218	-0.16094	0.89059
1570	9	4.0025	0.086149	-22.384	-18.572	0.65269	3.0921	-13.228	-0.7712	-13.295	-7.344	4.0025	0.086149	-19.641	-18.556	-1.541	0.72593	-13.094	-0.78034	-7.2225	-1.9563	-1.9855	-7.9648	-16.528	-12.06	0.62736	3.0728	-13.228	-0.7712	-13.295	-7.344	4.0025	0.086149	-16.166	-14.064	-1.5472	0.4532	-6.5986	-4.1184	-0.95924	-1.9563	-1.9855	-2.1184	-19.545	-18.555	-1.541	0.72593	-13.094	-0.78034	-7.2225	-1.9563	-1.9855	-2.1184	-22.288	-18.572	0.65269	3.0921	-13.228	-0.7712	-13.295	-7.344	-1.9855	-7.9648	-13.784	-12.044	-1.5667	0.69729	-13.088	-0.78042	-7.2225	-1.9563	-1.9855	-7.9648	-9.1404	-7.5407	-2.0334	-4.5155	-6.4188	-4.1206	-0.95924	-1.9563	-1.9855	-2.1184	-16.07	-14.063	-1.5472	0.45319	-6.5986	-4.1184	-0.95924	-1.9563
1607	9	-0.63783	-8.3834	-5.0388	-4.2585	-10.049	-15.71	-4.8111	-5.4711	-9.1424	-9.9702	-5.6996	-12.811	-5.0384	-4.2584	-10.049	-15.71	-4.8111	-5.4711	-9.1424	-9.9702	-0.63783	-8.3834	-14.065	-14.992	-0.091736	-4.0166	-9.3141	-0.86196	-9.1291	-3.5268	-5.6996	-12.811	-9.6177	-9.8499	-0.14136	-10.042	-9.3141	-0.86196	-9.1389	-4.1672	-0.63783	-8.3834	-9.618	-9.8499	-0.1413	-10.042	-9.3141	-0.86196	-9.1389	-4.1669	-5.6996	-12.811	-14.064	-14.992	-0.091736	-4.0166	-9.3141	-0.86196	-9.1291	-3.5268	-0.63783	-2.9276	-10.15	-12.103	-0.099699	-9.1075	-9.3141	-0.86196	-9.1307	-3.5863	-0.63783	-2.9276	-5.6901	-6.5037	-8.1684	-11.182	-4.8111	-2.6544	-9.1424	-7.1705	-0.63783	-2.9276	-14.594	-17.227	-0.091736	-4.0131	-9.3141	-0.86196	-9.1291	-3.5268
1630	9	-1.3787	-6.6112	-15.419	-14.7	0.78988	-0.72764	-12.946	1.3518	-8.937	-10.074	-6.4873	-9.0858	-15.418	-14.7	0.78988	-0.72764	-12.946	1.3518	-8.937	-10.074	-1.3787	-1.2412	-19.448	-18.979	0.78988	-0.72764	-12.946	1.3518	-8.937	-10.074	-1.3787	-6.6112	-14.896	-14.7	-0.81916	-6.2101	-12.945	0.86147	-5.1153	-3.502	-1.3787	-6.6112	-2.2015	-10.469	-6.0455	-8.6736	-7.7406	-1.3691	-0.28942	-4.7668	-1.3787	-1.2412	-18.925	-18.979	-0.81916	-6.2101	-12.945	0.86146	-5.1153	-3.502	-6.4873	-9.0857	-14.895	-14.7	-0.81916	-6.2101	-12.945	0.86146	-5.1153	-3.502	-1.3787	-1.2412	-12.435	-14.661	-0.8189	-6.2154	-7.7216	-1.7829	1.3352	-3.5024	-6.4873	-9.0858	-2.2007	-10.469	-6.0457	-8.6736	-7.7405	-1.3691	-0.28942	-4.7668
1681	9	-0.72681	-1.5425	-2.1376	0.78309	-16.756	-25.902	3.6863	-12.757	-0.91937	-2.4644	-6.0282	-9.9011	-6.6941	-2.8338	-15.777	-14.132	-2.9132	-7.4813	-9.9342	-8.3907	-6.0282	-9.9011	-6.5163	-0.80835	-16.755	-16.561	-2.9131	-7.5373	-6.5563	-2.4644	-0.72681	-1.5425	-7.7129	-2.7558	-16.755	-15.425	-2.9131	-7.5373	-6.5563	-2.4644	-0.72681	-7.1417	-6.5171	-0.81019	-16.755	-16.56	-2.9131	-7.5373	-6.5563	-2.4644	-0.72681	-1.5425	-7.9103	-4.7486	-15.381	-11.354	-2.9132	-7.448	-9.8361	-8.2104	-6.0282	-9.9011	-0.94103	2.7305	-16.756	-26.345	3.6863	-12.757	-0.91937	-2.4644	-0.72681	-7.1417	-0.94185	2.7287	-16.756	-26.345	3.6863	-12.757	-0.91937	-2.4644	-0.72681	-7.1417	-6.6949	-2.8357	-15.777	-14.13	-2.9132	-7.4813	-9.9342	-8.3907
1738	9	-4.7451	-12.287	-15.985	-17.823	0.55353	1.6445	-14.096	0.37871	-8.0073	-6.2451	-4.7451	-12.287	-15.5	-17.822	-2.676	-2.2768	-11.823	0.36592	-4.8194	-0.36322	0.79014	-5.7667	-10.263	-13.325	-2.7063	-3.1648	-9.7504	-3.5739	1.6305	-0.36323	0.79014	-0.34086	-20.594	-18.786	0.55422	1.6445	-14.096	0.37871	-8.0073	-6.2451	0.79014	-5.7667	-15.986	-17.823	0.55353	1.6445	-14.096	0.37871	-8.0073	-6.2451	-4.7451	-12.287	-10.263	-13.324	-2.7063	-3.1648	-9.7504	-3.5739	1.6305	-0.36323	0.79014	-0.34086	-14.881	-14.288	-2.6909	-3.1569	-9.7514	-3.5737	1.6305	-0.36323	0.79014	-5.7667	-15.501	-17.822	-2.676	-2.2768	-11.823	0.36592	-4.8194	-0.36322	0.79014	-0.34086	-20.11	-18.785	-2.6753	-2.2768	-11.823	0.36593	-4.8194	-0.36322
1862	9	-2.2412	-10.905	-9.5668	-3.8819	-7.4808	-15.664	-1.3708	-5.4179	-13.894	-7.9396	1.9381	0.78001	-16.624	-12.008	-4.5471	-8.6143	-2.9688	-1.3232	-8.2934	-0.85286	1.9381	0.78001	-10.902	-12.991	-3.1467	-9.9453	-2.4589	-6.6582	-2.312	-3.3784	1.9381	0.78001	-10.914	-13.068	-2.8717	-9.5112	-2.4812	-6.6556	-2.3764	-3.4931	1.9381	0.78001	-10.927	-13.05	-3.3178	-10.15	-2.4844	-6.6568	-2.2829	-2.9971	1.9381	0.78001	-10.958	-13.2	-2.9533	-9.5307	-2.5272	-6.6518	-2.3642	-2.7613	1.9381	0.78001	-10.96	-13.19	-3.181	-9.8393	-2.5289	-6.6527	-2.3142	-2.6461	1.9381	0.78001	-10.937	-13.089	-3.3178	-10.112	-2.4981	-6.6558	-2.2845	-2.8833	1.9381	0.78001	-10.95	-13.143	-3.2773	-10.007	-2.5156	-6.6542	-2.2939	-2.747
1882	9	-6.4803	-12.337	-2.3957	-6.8834	-12.386	-11.425	-7.7704	-9.511	-13.175	-8.3273	-0.60511	-0.59622	-17.444	-20.053	-2.8599	0.61375	-12.309	-2.9019	-13.174	-5.3514	-6.4803	-12.337	-15.316	-15.661	-2.8599	0.61369	-12.309	-2.9019	-13.174	-5.3514	-0.60511	-0.59622	-4.5345	-11.192	-11.418	-10.981	-7.7704	-9.5118	-7.4337	-1.8012	-6.4803	-12.337	-8.9417	-13.528	-6.408	-4.4117	-7.8581	-2.9096	-6.9578	1.1656	-6.4803	-12.337	-2.3956	-6.7792	-16.955	-13.992	-7.7704	-9.5119	-7.4338	-1.8012	-0.60511	-0.59622	-11.08	-17.923	-6.4046	-4.4084	-7.8587	-2.9095	-6.9578	1.1656	-0.60511	-0.59622	-0.48376	-6.6638	-16.98	-16.456	-1.2726	-15.693	-1.013	-1.8012	-6.4803	-12.337	1.6547	-2.2711	-17.021	-18.307	-1.2726	-15.693	-1.013	-1.8012
