208	5	-5.4817	-4.6578	-18.698	-13.075	-2.2211	-1.2849	-11.046	4.3458	-5.4462	-1.9305	0.27273	-2.2834	-21.13	-13.424	-2.2209	-1.2849	-11.046	4.3458	-5.4462	-1.9305	0.27273	-0.24986	-14.759	-8.7774	-5.6314	-4.2172	-2.4429	-3.4074	0.60333	-1.9305	0.27273	-0.24986	-24.815	-14.142	-2.2207	-1.2849	-11.046	4.3458	-5.4462	-1.9305	0.27273	-0.24986	-8.0868	-6.7954	-5.9309	-8.1511	-2.2697	-3.8022	0.6032	-3.5565
239	5	1.493	0.21527	-5.4089	-4.1865	-11.302	-24.055	0.38316	-10.504	0.5693	-3.025	-4.4569	-9.9519	-0.081337	1.964	-12.657	-24.572	0.38321	-10.504	0.5693	-3.025	1.493	0.21527	-14.681	-13.082	-5.2452	-1.9962	-3.0207	-5.3229	0.86916	1.3324	-4.4569	-4.5856	-1.3244	1.8492	-12.576	-24.572	0.38321	-10.504	0.5693	-3.025	-4.4569	-9.9519	-7.4177	-3.9558	-9.965	-12.207	-5.2572	-5.835	-9.8808	-6.5577
246	5	-0.10715	0.35471	-15.161	-16.614	-5.966	-4.8492	-5.9149	0.60754	-4.3649	3.5038	-6.122	-8.6288	-4.4075	-2.6417	-10.82	-12.541	-5.1055	-5.1283	-10.451	-6.5958	-6.122	-2.3369	-9.6909	-12.842	-6.6267	-4.8591	-5.4588	-0.50129	-4.3649	3.5037	-6.122	-8.6288	-9.0623	-10.787	-6.8737	-4.9253	-5.3031	-1.178	-4.3649	3.5037	-0.10715	0.35471	-12.966	-14.922	-6.0374	-4.9138	-1.9938	-0.72637	0.16275	3.5037
335	5	3.0908	-5.3233	-11.385	-14.061	-3.2622	-4.5989	-8.0778	-1.0993	-7.4854	-1.1575	3.0908	-5.3233	-5.2863	-3.1758	-10.112	-11.217	-2.7435	-5.4141	-7.8049	-3.8895	-3.021	-11.79	-5.083	-2.7105	-10.498	-11.349	-2.7512	-5.5972	-8.0664	-4.789	-3.021	-11.79	-11.188	-13.596	-3.2628	-4.6035	-8.0765	-1.0995	-7.4854	-1.1575	3.0908	-1.0539	-16.1	-16.577	-3.2609	-4.5683	-8.0804	-1.0989	-7.4854	-1.1575
337	5	-5.7853	-9.8946	-10.399	-18.964	-5.8182	-5.4513	-2.0528	-0.85226	-3.948	2.2125	-5.7853	-9.8946	-6.3229	-7.6761	-13.892	-10.464	-2.4789	-6.5673	-9.0409	-10.026	-5.7853	-9.8946	-13.124	-19.74	-3.1239	1.0617	-5.2276	-0.022577	-7.9607	-3.4007	0.60345	0.49757	-19.438	-24.927	-3.1239	1.0617	-5.2276	-0.022577	-7.9607	-3.4007	0.60345	0.49757	-16.732	-24.254	-5.8154	-5.2453	-2.0552	-0.852	-3.948	2.2361
352	5	1.5516	1.5163	-16.533	-21.071	-2.4692	-0.28675	-11.509	2.4117	-9.2596	-7.8466	1.5516	-4.9569	-13.616	-18.872	-2.4692	-0.28677	-11.509	2.4117	-9.2596	-7.8466	1.5516	-4.9569	-11.708	-17.079	-4.7085	-6.2626	-8.7688	1.3843	-3.4224	-1.3204	1.5516	1.5163	-14.625	-19.278	-4.7085	-6.2623	-8.7688	1.3843	-3.4224	-1.3204	1.5516	1.5163	-9.1558	-13.524	-4.7085	-7.0193	-4.5894	-2.0094	1.2902	-1.3204
407	5	-7.8307	-3.1284	-8.2875	-16.982	-8.8424	-4.9033	-3.3411	-7.2157	-7.5027	-1.2967	-7.8307	-3.1284	-12.42	-18.979	-5.768	-4.298	-7.6588	-5.513	-7.5026	-1.2955	-7.8307	-8.8393	-8.0672	-15.27	-9.3283	-4.9435	-2.2422	-7.5792	-7.5027	-1.2968	-2.3257	1.5345	-17.68	-25.084	-5.7657	-4.2973	-7.6589	-5.5123	-7.5026	-1.2955	-7.8307	-8.8393	-12.222	-18.741	-5.7692	-4.2984	-7.6588	-5.5134	-7.5026	-1.2955
437	5	3.6492	-3.9135	-17.142	-17.699	-0.96453	-0.66394	-10.524	0.33174	-9.4969	-4.9467	3.6492	-3.9135	-9.9026	-14.994	-6.3035	-7.2119	-4.9398	-0.88789	-6.3876	0.13818	3.6492	2.3894	-23.746	-22.159	-0.96453	-0.66388	-10.524	0.33174	-9.4969	-4.9467	3.6492	2.3894	-16.519	-19.455	-6.3035	-7.1936	-4.9399	-0.88788	-6.3876	0.13851	3.6492	2.3894	-11.517	-11.639	-5.7807	-9.0828	-2.4408	-3.6165	-0.31116	-1.6202
497	5	-2.5848	-8.0864	-17.036	-13.587	-3.6001	-1.0156	-8.7127	1.8734	-10.775	-0.5711	-2.5848	-8.0864	-10.997	-11.781	-3.7109	-1.3119	-3.0721	-0.37396	-4.6063	-0.5711	3.132	2.2081	-23.679	-16.896	-3.6	-1.0156	-8.7128	1.8734	-10.775	-0.5711	-2.5848	-8.0864	-8.3481	-2.7284	-9.7216	-12.642	-3.2168	-3.1241	-12.134	-4.2625	3.132	2.2081	-17.779	-15.244	-3.6	-1.1157	-3.2553	-0.36731	-4.6063	-0.5711
519	5	-3.7487	-7.0283	-1.6437	0.32311	-14.752	-19.568	0.70508	-11.376	-1.7086	-2.9997	-3.7487	-7.0283	-4.2768	-5.5537	-7.8422	-17.232	-5.4985	-8.322	-7.296	-9.3207	-3.7487	-0.59468	-6.0305	-2.9721	-12.735	-17.379	0.70508	-11.376	-1.7086	-2.9997	-3.7487	-7.0283	-2.4983	-3.2041	-14.278	-19.511	0.43051	-9.1202	-3.6775	-2.9997	-3.7487	-0.59469	-7.0491	-6.496	-9.051	-14.423	0.43041	-9.0497	-3.6753	-2.9988
